iteration	thresholded?	threshold	precision	recall
0	0	1.6096172e-18	0.0794351279788173	1.0
0	0	2.257929e-14	0.07950530035335689	1.0
0	0	7.346007e-13	0.07957559681697612	1.0
0	0	5.4404645e-12	0.07964601769911504	1.0
0	0	8.808809e-12	0.07971656333038087	1.0
0	0	9.5275e-12	0.0797872340425532	1.0
0	0	1.2130111e-11	0.07985803016858918	1.0
0	0	1.575933e-11	0.07992895204262877	1.0
0	0	2.550061e-11	0.08	1.0
0	0	2.7920005e-11	0.0800711743772242	1.0
0	0	2.922433e-11	0.08014247551202137	1.0
0	0	2.9724657e-11	0.08021390374331551	1.0
0	0	3.8641874e-11	0.08028545941123996	1.0
0	0	3.8843463e-11	0.08035714285714286	1.0
0	0	5.1515597e-11	0.08042895442359249	1.0
0	0	5.2088858e-11	0.08050089445438283	1.0
0	0	7.4183305e-11	0.08057296329453895	1.0
0	0	7.962777e-11	0.08064516129032258	1.0
0	0	9.2108036e-11	0.08071748878923767	1.0
0	0	1.07099385e-10	0.0807899461400359	1.0
0	0	1.3745068e-10	0.08086253369272237	1.0
0	0	1.4943083e-10	0.08093525179856115	1.0
0	0	1.5771877e-10	0.081008100810081	1.0
0	0	1.6289237e-10	0.08108108108108109	1.0
0	0	1.6332885e-10	0.0811541929666366	1.0
0	0	2.2799393e-10	0.0812274368231047	1.0
0	0	3.0091354e-10	0.08130081300813008	1.0
0	0	3.0774763e-10	0.081374321880651	1.0
0	0	3.5607817e-10	0.08144796380090498	1.0
0	0	3.7556447e-10	0.08152173913043478	1.0
0	0	4.5705123e-10	0.0815956482320943	1.0
0	0	5.228986e-10	0.08166969147005444	1.0
0	0	5.277008e-10	0.08174386920980926	1.0
0	0	6.6716543e-10	0.08181818181818182	1.0
0	0	6.7033645e-10	0.0818926296633303	1.0
0	0	6.787972e-10	0.08196721311475409	1.0
0	0	7.96632e-10	0.0820419325432999	1.0
0	0	8.7848917e-10	0.08211678832116788	1.0
0	0	8.857694e-10	0.0821917808219178	1.0
0	0	9.67489e-10	0.08226691042047532	1.0
0	0	1.080144e-09	0.08234217749313816	1.0
0	0	1.1173387e-09	0.08241758241758242	1.0
0	0	1.1944843e-09	0.08249312557286893	1.0
0	0	1.5141515e-09	0.08256880733944955	1.0
0	0	1.5389438e-09	0.08264462809917356	1.0
0	0	1.5473763e-09	0.08272058823529412	1.0
0	0	1.8200444e-09	0.0827966881324747	1.0
0	0	1.8681803e-09	0.08287292817679558	1.0
0	0	1.9225554e-09	0.08294930875576037	1.0
0	0	2.1641615e-09	0.08302583025830258	1.0
0	0	2.174742e-09	0.08310249307479224	1.0
0	0	2.2439255e-09	0.08317929759704251	1.0
0	0	2.2468634e-09	0.08325624421831637	1.0
0	0	2.2480937e-09	0.08333333333333333	1.0
0	0	2.2900255e-09	0.08341056533827618	1.0
0	0	2.3333313e-09	0.08348794063079777	1.0
0	0	2.3899405e-09	0.08356545961002786	1.0
0	0	2.4852445e-09	0.08364312267657993	1.0
0	0	2.5612164e-09	0.08372093023255814	1.0
0	0	2.6111393e-09	0.08379888268156424	1.0
0	0	2.8272538e-09	0.08387698042870456	1.0
0	0	2.8477767e-09	0.08395522388059702	1.0
0	0	2.9915797e-09	0.08403361344537816	1.0
0	0	3.2111742e-09	0.08411214953271028	1.0
0	0	3.227163e-09	0.08419083255378859	1.0
0	0	3.3093501e-09	0.08426966292134831	1.0
0	0	3.6019325e-09	0.08434864104967198	1.0
0	0	3.7389363e-09	0.08442776735459662	1.0
0	0	4.124692e-09	0.08450704225352113	1.0
0	0	4.235784e-09	0.08458646616541353	1.0
0	0	4.3818105e-09	0.08466603951081844	1.0
0	0	4.8693725e-09	0.0847457627118644	1.0
0	0	4.8812567e-09	0.08482563619227144	1.0
0	0	5.146085e-09	0.08490566037735849	1.0
0	0	5.1922266e-09	0.08498583569405099	1.0
0	0	5.798317e-09	0.08506616257088846	1.0
0	0	5.891447e-09	0.08514664143803216	1.0
0	0	6.23192e-09	0.08522727272727272	1.0
0	0	6.2707546e-09	0.08530805687203792	1.0
0	0	6.2738534e-09	0.08538899430740038	1.0
0	0	6.581466e-09	0.08547008547008547	1.0
0	0	6.843198e-09	0.08555133079847908	1.0
0	0	6.9360104e-09	0.08563273073263558	1.0
0	0	6.9727526e-09	0.08571428571428572	1.0
0	0	7.3734796e-09	0.08579599618684461	1.0
0	0	7.589176e-09	0.08587786259541985	1.0
0	0	8.0333695e-09	0.08595988538681948	1.0
0	0	8.729692e-09	0.08604206500956023	1.0
0	0	8.8164205e-09	0.0861244019138756	1.0
0	0	8.838747e-09	0.08620689655172414	1.0
0	0	8.957634e-09	0.0862895493767977	1.0
0	0	9.254026e-09	0.08637236084452975	1.0
0	0	1.0512921e-08	0.08645533141210375	1.0
0	0	1.0546763e-08	0.08653846153846154	1.0
0	0	1.0831091e-08	0.08662175168431184	1.0
0	0	1.1086314e-08	0.08670520231213873	1.0
0	0	1.13561045e-08	0.08678881388621022	1.0
0	0	1.1512561e-08	0.08687258687258688	1.0
0	0	1.17867875e-08	0.08695652173913043	1.0
0	0	1.2259032e-08	0.08704061895551257	1.0
0	0	1.2763287e-08	0.08712487899322362	1.0
0	0	1.3173562e-08	0.0872093023255814	1.0
0	0	1.3374841e-08	0.08729388942774007	1.0
0	0	1.3557171e-08	0.08737864077669903	1.0
0	0	1.3927464e-08	0.08746355685131195	1.0
0	0	1.415602e-08	0.08754863813229571	1.0
0	0	1.4296112e-08	0.08763388510223953	1.0
0	0	1.4403348e-08	0.08771929824561403	1.0
