iteration,name,true,pred
0,bc9e35905870076c8c96a22c69814e19-149-0.jpg,0,1
0,7c689131cd8b4692c18e38a35ebfe5bc-124-1.jpg,1,0
0,5fac66678ec47a25f69eca4a544a341a-271-1.jpg,1,0
0,dccf1d01b546dfbdf4b1792431ced1cb-192-1.jpg,1,0
0,91a8a962e8362e95c706fd0d2ad700c9-269-1.jpg,1,0
0,29978b3abc8852e9828bb05acaa293b8-79-6.jpg,1,0
0,7c09b8e55c2f67a1feb91c6b5b6c25ec-126-1.jpg,1,0
0,b14ee38fcc9c8fb1f3fdebd85f1c3264-103-1.jpg,1,0
0,fae223a214a20df143018ad35f1fc6b2-99-2.jpg,1,0
0,3394e5028a60e6f90f09d4ef23917903-97-0.jpg,0,1
0,f56a43c9745e3a1ab30ad4ebb5bfa12b-270-1.jpg,1,0
0,cc0c48e0b54fb51cc2aec9c6557b2618-79-1.jpg,1,0
0,dd03ebdcf539dc371acbe635f2321da8-171-0.jpg,0,1
0,1a27532deaeafbe1ba68271f6d421fb2-312-1.jpg,1,0
0,dc3636eb13da095e9f9bac92d6e6b286-295-0.jpg,0,1
0,43191236f6725e80c464e05801068bd7-293-1.jpg,1,0
0,357dd029a1afb30df817fa6b9a2ee0f9-220-1.jpg,1,0
0,b1a7694d8f72ff0f830665114858f3ee-270-0.jpg,0,1
0,8e5f221988e621599a66b4295d11cd96-293-1.jpg,1,0
0,1e531b10ac991caf16bf7b9e29d4438c-103-1.jpg,1,0
0,f9cbdd4d204bd9d53478dd73e3ed42a0-258-1.jpg,1,0
0,3fe801103cfc8e86b069f9081ee5af1a-103-1.jpg,1,0
0,a5f012ed3aa300d6accd989d70c8ada5-103-1.jpg,1,0
0,a22b8489132c79f58415f48d3e911b00-96-2.jpg,1,0
0,bfea933997954da100565d5928d0a286-124-1.jpg,1,0
0,b68b2344f6a5c7bf2353ea63dee4791e-102-0.jpg,0,1
0,b393e6b86ed4f6cb542df41fe298b5e0-98-1.jpg,1,0
0,27381a0d17788d54dea69ac15a7f1601-241-1.jpg,1,0
0,8c2c3af6bdad13d1f53a0be51415d164-271-2.jpg,1,0
1,7c689131cd8b4692c18e38a35ebfe5bc-124-1.jpg,1,0
1,dccf1d01b546dfbdf4b1792431ced1cb-192-1.jpg,1,0
1,91a8a962e8362e95c706fd0d2ad700c9-269-1.jpg,1,0
1,255a23443d6b4be076b6491b546e7b82-126-38.jpg,1,0
