threshold	precision	recall
0.0	0.07964601769911504	1.0
0.0005	0.6534653465346535	0.7333333333333333
0.001	0.7096774193548387	0.7333333333333333
0.0015	0.7252747252747253	0.7333333333333333
0.002	0.75	0.7333333333333333
0.0025	0.7674418604651163	0.7333333333333333
0.003	0.7804878048780488	0.7111111111111111
0.0035	0.7777777777777778	0.7
0.004	0.7875	0.7
0.0045000000000000005	0.7922077922077922	0.6777777777777778
0.005	0.8026315789473685	0.6777777777777778
0.0055	0.8026315789473685	0.6777777777777778
0.006	0.8026315789473685	0.6777777777777778
0.006500000000000001	0.8243243243243243	0.6777777777777778
0.007	0.8356164383561644	0.6777777777777778
0.0075	0.8472222222222222	0.6777777777777778
0.008	0.8472222222222222	0.6777777777777778
0.0085	0.8472222222222222	0.6777777777777778
0.009000000000000001	0.8591549295774648	0.6777777777777778
0.0095	0.8591549295774648	0.6777777777777778
0.01	0.8571428571428571	0.6666666666666666
0.0105	0.8571428571428571	0.6666666666666666
0.011	0.8571428571428571	0.6666666666666666
0.0115	0.8571428571428571	0.6666666666666666
0.012	0.8571428571428571	0.6666666666666666
0.0125	0.8571428571428571	0.6666666666666666
0.013000000000000001	0.8571428571428571	0.6666666666666666
0.0135	0.8571428571428571	0.6666666666666666
0.014	0.8571428571428571	0.6666666666666666
0.0145	0.8571428571428571	0.6666666666666666
0.015	0.8571428571428571	0.6666666666666666
0.0155	0.8571428571428571	0.6666666666666666
0.016	0.8571428571428571	0.6666666666666666
0.0165	0.8571428571428571	0.6666666666666666
0.017	0.8571428571428571	0.6666666666666666
0.0175	0.8571428571428571	0.6666666666666666
0.018000000000000002	0.8571428571428571	0.6666666666666666
0.0185	0.8571428571428571	0.6666666666666666
0.019	0.8571428571428571	0.6666666666666666
0.0195	0.8571428571428571	0.6666666666666666
0.02	0.8695652173913043	0.6666666666666666
0.0205	0.8695652173913043	0.6666666666666666
0.021	0.8695652173913043	0.6666666666666666
0.021500000000000002	0.8695652173913043	0.6666666666666666
0.022	0.8695652173913043	0.6666666666666666
0.0225	0.8676470588235294	0.6555555555555556
0.023	0.8676470588235294	0.6555555555555556
0.0235	0.8676470588235294	0.6555555555555556
0.024	0.8676470588235294	0.6555555555555556
0.0245	0.8676470588235294	0.6555555555555556
0.025	0.8676470588235294	0.6555555555555556
0.025500000000000002	0.8676470588235294	0.6555555555555556
0.026000000000000002	0.8676470588235294	0.6555555555555556
0.0265	0.8676470588235294	0.6555555555555556
0.027	0.8676470588235294	0.6555555555555556
0.0275	0.8676470588235294	0.6555555555555556
0.028	0.8676470588235294	0.6555555555555556
0.0285	0.8676470588235294	0.6555555555555556
0.029	0.8676470588235294	0.6555555555555556
0.029500000000000002	0.8676470588235294	0.6555555555555556
0.03	0.8676470588235294	0.6555555555555556
0.0305	0.8676470588235294	0.6555555555555556
0.031	0.8676470588235294	0.6555555555555556
0.0315	0.8676470588235294	0.6555555555555556
0.032	0.8676470588235294	0.6555555555555556
0.0325	0.8676470588235294	0.6555555555555556
0.033	0.8676470588235294	0.6555555555555556
0.0335	0.8676470588235294	0.6555555555555556
0.034	0.8676470588235294	0.6555555555555556
0.0345	0.8676470588235294	0.6555555555555556
0.035	0.8805970149253731	0.6555555555555556
0.035500000000000004	0.8805970149253731	0.6555555555555556
0.036000000000000004	0.8805970149253731	0.6555555555555556
0.0365	0.8805970149253731	0.6555555555555556
0.037	0.8805970149253731	0.6555555555555556
0.0375	0.8805970149253731	0.6555555555555556
0.038	0.8805970149253731	0.6555555555555556
0.0385	0.8805970149253731	0.6555555555555556
0.039	0.8805970149253731	0.6555555555555556
0.0395	0.8805970149253731	0.6555555555555556
0.04	0.8805970149253731	0.6555555555555556
0.0405	0.8805970149253731	0.6555555555555556
0.041	0.8805970149253731	0.6555555555555556
0.0415	0.8805970149253731	0.6555555555555556
0.042	0.8805970149253731	0.6555555555555556
0.0425	0.8805970149253731	0.6555555555555556
0.043000000000000003	0.8805970149253731	0.6555555555555556
0.043500000000000004	0.8805970149253731	0.6555555555555556
0.044	0.8805970149253731	0.6555555555555556
0.0445	0.8805970149253731	0.6555555555555556
0.045	0.8805970149253731	0.6555555555555556
0.0455	0.8805970149253731	0.6555555555555556
0.046	0.8805970149253731	0.6555555555555556
0.0465	0.8805970149253731	0.6555555555555556
0.047	0.8805970149253731	0.6555555555555556
0.0475	0.8805970149253731	0.6555555555555556
0.048	0.8805970149253731	0.6555555555555556
0.0485	0.8805970149253731	0.6555555555555556
0.049	0.8805970149253731	0.6555555555555556
0.0495	0.8805970149253731	0.6555555555555556
0.05	0.8805970149253731	0.6555555555555556
0.0505	0.8805970149253731	0.6555555555555556
0.051000000000000004	0.8805970149253731	0.6555555555555556
0.051500000000000004	0.8805970149253731	0.6555555555555556
0.052000000000000005	0.8805970149253731	0.6555555555555556
0.0525	0.8805970149253731	0.6555555555555556
0.053	0.8805970149253731	0.6555555555555556
0.0535	0.8805970149253731	0.6555555555555556
0.054	0.8805970149253731	0.6555555555555556
0.0545	0.8805970149253731	0.6555555555555556
