threshold	precision	recall
0.0	0.0794351279788173	1.0
0.0005	0.17248459958932238	0.9333333333333333
0.001	0.19310344827586207	0.9333333333333333
0.0015	0.2033898305084746	0.9333333333333333
0.002	0.2144702842377261	0.9222222222222223
0.0025	0.21957671957671956	0.9222222222222223
0.003	0.22865013774104684	0.9222222222222223
0.0035	0.23768115942028986	0.9111111111111111
0.004	0.24404761904761904	0.9111111111111111
0.0045000000000000005	0.25386996904024767	0.9111111111111111
0.005	0.25705329153605017	0.9111111111111111
0.0055	0.26282051282051283	0.9111111111111111
0.006	0.2671009771986971	0.9111111111111111
0.006500000000000001	0.2706270627062706	0.9111111111111111
0.007	0.27796610169491526	0.9111111111111111
0.0075	0.2867132867132867	0.9111111111111111
0.008	0.28975265017667845	0.9111111111111111
0.0085	0.2949640287769784	0.9111111111111111
0.009000000000000001	0.296028880866426	0.9111111111111111
0.0095	0.30036630036630035	0.9111111111111111
0.01	0.30711610486891383	0.9111111111111111
0.0105	0.3106060606060606	0.9111111111111111
0.011	0.31417624521072796	0.9111111111111111
0.0115	0.31906614785992216	0.9111111111111111
0.012	0.3215686274509804	0.9111111111111111
0.0125	0.3253968253968254	0.9111111111111111
0.013000000000000001	0.32669322709163345	0.9111111111111111
0.0135	0.33064516129032256	0.9111111111111111
0.014	0.3374485596707819	0.9111111111111111
0.0145	0.3416666666666667	0.9111111111111111
0.015	0.3445378151260504	0.9111111111111111
0.0155	0.3474576271186441	0.9111111111111111
0.016	0.351931330472103	0.9111111111111111
0.0165	0.35526315789473684	0.9
0.017	0.3568281938325991	0.9
0.0175	0.3584070796460177	0.9
0.018000000000000002	0.3632286995515695	0.9
0.0185	0.36818181818181817	0.9
0.019	0.3698630136986301	0.9
0.0195	0.3698630136986301	0.9
0.02	0.37327188940092165	0.9
0.0205	0.375	0.9
0.021	0.3767441860465116	0.9
0.021500000000000002	0.37850467289719625	0.9
0.022	0.38028169014084506	0.9
0.0225	0.38207547169811323	0.9
0.023	0.38571428571428573	0.9
0.0235	0.3875598086124402	0.9
0.024	0.391304347826087	0.9
0.0245	0.391304347826087	0.9
0.025	0.3951219512195122	0.9
0.025500000000000002	0.39705882352941174	0.9
0.026000000000000002	0.39705882352941174	0.9
0.0265	0.39705882352941174	0.9
0.027	0.400990099009901	0.9
0.0275	0.40298507462686567	0.9
0.028	0.4090909090909091	0.9
0.0285	0.413265306122449	0.9
0.029	0.4153846153846154	0.9
0.029500000000000002	0.41968911917098445	0.9
0.03	0.4166666666666667	0.8888888888888888
0.0305	0.4166666666666667	0.8888888888888888
0.031	0.4166666666666667	0.8888888888888888
0.0315	0.4166666666666667	0.8888888888888888
0.032	0.42105263157894735	0.8888888888888888
0.0325	0.42328042328042326	0.8888888888888888
0.033	0.42021276595744683	0.8777777777777778
0.0335	0.42021276595744683	0.8777777777777778
0.034	0.42245989304812837	0.8777777777777778
0.0345	0.42245989304812837	0.8777777777777778
0.035	0.42473118279569894	0.8777777777777778
0.035500000000000004	0.42702702702702705	0.8777777777777778
0.036000000000000004	0.42934782608695654	0.8777777777777778
0.0365	0.43169398907103823	0.8777777777777778
0.037	0.43169398907103823	0.8777777777777778
0.0375	0.43169398907103823	0.8777777777777778
0.038	0.43169398907103823	0.8777777777777778
0.0385	0.430939226519337	0.8666666666666667
0.039	0.430939226519337	0.8666666666666667
0.0395	0.430939226519337	0.8666666666666667
0.04	0.430939226519337	0.8666666666666667
0.0405	0.430939226519337	0.8666666666666667
0.041	0.43333333333333335	0.8666666666666667
0.0415	0.43820224719101125	0.8666666666666667
0.042	0.4406779661016949	0.8666666666666667
0.0425	0.4406779661016949	0.8666666666666667
0.043000000000000003	0.44571428571428573	0.8666666666666667
0.043500000000000004	0.4482758620689655	0.8666666666666667
0.044	0.4508670520231214	0.8666666666666667
0.0445	0.4508670520231214	0.8666666666666667
0.045	0.45348837209302323	0.8666666666666667
0.0455	0.4588235294117647	0.8666666666666667
0.046	0.4642857142857143	0.8666666666666667
0.0465	0.4642857142857143	0.8666666666666667
0.047	0.4642857142857143	0.8666666666666667
0.0475	0.46706586826347307	0.8666666666666667
0.048	0.46706586826347307	0.8666666666666667
0.0485	0.46987951807228917	0.8666666666666667
0.049	0.46987951807228917	0.8666666666666667
0.0495	0.46987951807228917	0.8666666666666667
0.05	0.4727272727272727	0.8666666666666667
0.0505	0.4727272727272727	0.8666666666666667
0.051000000000000004	0.4727272727272727	0.8666666666666667
0.051500000000000004	0.47560975609756095	0.8666666666666667
0.052000000000000005	0.47560975609756095	0.8666666666666667
0.0525	0.4785276073619632	0.8666666666666667
0.053	0.48148148148148145	0.8666666666666667
0.0535	0.48148148148148145	0.8666666666666667
0.054	0.484472049689441	0.8666666666666667
0.0545	0.4875	0.8666666666666667
