iteration	thresholded?	epoch	train_loss	train_acc	val_loss	val_acc
0	0	1	0.26443609595298767	0.9299476742744446	0.14186552166938782	0.9541041254997253
0	0	2	0.10222025960683823	0.9635287523269653	0.10367048531770706	0.9708737730979919
0	0	3	0.09560871869325638	0.9683457016944885	0.11366421729326248	0.9664607048034668
0	0	4	0.07703568786382675	0.9738507866859436	0.13359332084655762	0.9629302620887756
0	0	5	0.07654070109128952	0.9755023121833801	0.11486097425222397	0.9682259559631348
0	0	6	0.061812158674001694	0.9792183041572571	0.14372414350509644	0.9682259559631348
0	0	7	0.06069425120949745	0.9808698296546936	0.12435467541217804	0.9655781388282776
0	0	8	0.06064010411500931	0.9823837280273438	0.1567995399236679	0.9638128876686096
0	0	9	0.049620579928159714	0.9837599992752075	0.16231976449489594	0.9611650705337524
0	0	10	0.047922179102897644	0.9841728806495667	0.18777896463871002	0.9620476365089417
0	0	11	0.04383668303489685	0.9873383045196533	0.18692098557949066	0.9664607048034668
0	0	12	0.047123219817876816	0.9877511858940125	0.17649585008621216	0.9673433303833008
