iteration	thresholded?	epoch	train_loss	train_acc	val_loss	val_acc
0	0	1	0.031053343787789345	0.9903661012649536	0.24065427482128143	0.9505736827850342
0	0	2	0.024151679128408432	0.9928433895111084	0.1152760460972786	0.9752868413925171
0	0	3	0.025843333452939987	0.9910542368888855	0.14174391329288483	0.9691085815429688
0	0	4	0.015755800530314445	0.994907796382904	0.1704825460910797	0.9585171937942505
0	0	5	0.017313053831458092	0.9957335591316223	0.15224605798721313	0.9673433303833008
0	0	6	0.01121099479496479	0.9962840676307678	0.13445036113262177	0.9682259559631348
0	0	7	0.012432589195668697	0.9964216947555542	0.18891355395317078	0.9585171937942505
0	0	8	0.011717143468558788	0.9960088133811951	0.142780140042305	0.9673433303833008
0	0	9	0.012433401308953762	0.9969722032546997	0.1445378065109253	0.9673433303833008
0	0	10	0.011229506693780422	0.9965593218803406	0.15174758434295654	0.9673433303833008
0	0	11	0.009789163246750832	0.9964216947555542	0.17420755326747894	0.9638128876686096
0	0	12	0.008152318187057972	0.9973850846290588	0.1635386049747467	0.9593998193740845
