iteration	thresholded?	threshold	precision	recall
0	0	1.0743893e-19	0.0794351279788173	1.0
0	0	6.432239e-18	0.07950530035335689	1.0
0	0	4.924724e-16	0.07957559681697612	1.0
0	0	7.6838975e-16	0.07964601769911504	1.0
0	0	1.2878665e-15	0.07971656333038087	1.0
0	0	2.6648375e-14	0.0797872340425532	1.0
0	0	2.7510233e-14	0.07985803016858918	1.0
0	0	2.7444578e-13	0.07992895204262877	1.0
0	0	9.305371e-13	0.08	1.0
0	0	9.608561e-13	0.0800711743772242	1.0
0	0	2.9809237e-12	0.08014247551202137	1.0
0	0	8.906221e-12	0.08021390374331551	1.0
0	0	9.620815e-12	0.08028545941123996	1.0
0	0	6.112415e-11	0.08035714285714286	1.0
0	0	6.208885e-11	0.08042895442359249	1.0
0	0	7.6501645e-11	0.08050089445438283	1.0
0	0	8.418907e-11	0.08057296329453895	1.0
0	0	1.05490054e-10	0.08064516129032258	1.0
0	0	1.1885566e-10	0.08071748878923767	1.0
0	0	1.5817549e-10	0.0807899461400359	1.0
0	0	1.599634e-10	0.08086253369272237	1.0
0	0	3.1727565e-10	0.08003597122302158	0.9888888888888889
0	0	3.337716e-10	0.08010801080108011	0.9888888888888889
0	0	4.5945314e-10	0.08018018018018018	0.9888888888888889
0	0	5.7030863e-10	0.08025247971145176	0.9888888888888889
0	0	8.060256e-10	0.08032490974729242	0.9888888888888889
0	0	1.0076617e-09	0.08039747064137308	0.9888888888888889
0	0	1.0984477e-09	0.08047016274864376	0.9888888888888889
0	0	1.1218658e-09	0.08054298642533937	0.9888888888888889
0	0	1.2872858e-09	0.0806159420289855	0.9888888888888889
0	0	1.4887446e-09	0.08068902991840435	0.9888888888888889
0	0	1.5944382e-09	0.08076225045372051	0.9888888888888889
0	0	1.6787259e-09	0.08083560399636694	0.9888888888888889
0	0	1.7931538e-09	0.0809090909090909	0.9888888888888889
0	0	1.882043e-09	0.08098271155595996	0.9888888888888889
0	0	1.9339714e-09	0.08105646630236794	0.9888888888888889
0	0	2.118117e-09	0.08113035551504102	0.9888888888888889
0	0	2.5037907e-09	0.0812043795620438	0.9888888888888889
0	0	2.7114704e-09	0.08127853881278539	0.9888888888888889
0	0	2.7821156e-09	0.08135283363802559	0.9888888888888889
0	0	3.0751486e-09	0.08142726440988106	0.9888888888888889
0	0	3.0950849e-09	0.0815018315018315	0.9888888888888889
0	0	3.3270584e-09	0.08157653528872594	0.9888888888888889
0	0	3.3868792e-09	0.081651376146789	0.9888888888888889
0	0	3.4293852e-09	0.08172635445362718	0.9888888888888889
0	0	3.5068026e-09	0.0818014705882353	0.9888888888888889
0	0	3.9961114e-09	0.08187672493100276	0.9888888888888889
0	0	4.0730317e-09	0.08195211786372007	0.9888888888888889
0	0	4.225568e-09	0.08202764976958525	0.9888888888888889
0	0	4.315045e-09	0.08210332103321033	0.9888888888888889
0	0	4.702826e-09	0.08217913204062789	0.9888888888888889
0	0	5.4788045e-09	0.0822550831792976	0.9888888888888889
0	0	6.4845236e-09	0.08233117483811286	0.9888888888888889
0	0	6.637084e-09	0.0824074074074074	0.9888888888888889
0	0	6.939597e-09	0.082483781278962	0.9888888888888889
0	0	8.10792e-09	0.08256029684601113	0.9888888888888889
0	0	9.120814e-09	0.08263695450324977	0.9888888888888889
0	0	9.180679e-09	0.08271375464684015	0.9888888888888889
0	0	9.191402e-09	0.0827906976744186	0.9888888888888889
0	0	9.81165e-09	0.08286778398510242	0.9888888888888889
0	0	1.0396091e-08	0.08294501397949673	0.9888888888888889
0	0	1.1881544e-08	0.0830223880597015	0.9888888888888889
0	0	1.2467578e-08	0.08309990662931839	0.9888888888888889
0	0	1.2543955e-08	0.08317757009345794	0.9888888888888889
0	0	1.28521105e-08	0.0832553788587465	0.9888888888888889
0	0	1.322762e-08	0.08333333333333333	0.9888888888888889
0	0	1.40803245e-08	0.08341143392689784	0.9888888888888889
0	0	1.4991917e-08	0.08348968105065666	0.9888888888888889
0	0	1.5007052e-08	0.0835680751173709	0.9888888888888889
0	0	1.507973e-08	0.08364661654135339	0.9888888888888889
0	0	1.5419266e-08	0.08372530573847602	0.9888888888888889
0	0	1.6863774e-08	0.08380414312617702	0.9888888888888889
0	0	1.8424235e-08	0.08388312912346843	0.9888888888888889
0	0	1.8445157e-08	0.08396226415094339	0.9888888888888889
0	0	1.8947185e-08	0.08404154863078375	0.9888888888888889
0	0	2.2788285e-08	0.08412098298676748	0.9888888888888889
0	0	2.467171e-08	0.08420056764427625	0.9888888888888889
0	0	2.6011195e-08	0.08428030303030302	0.9888888888888889
0	0	2.7628474e-08	0.08436018957345971	0.9888888888888889
0	0	2.8175062e-08	0.08444022770398482	0.9888888888888889
0	0	2.8259452e-08	0.08452041785375118	0.9888888888888889
0	0	2.8367621e-08	0.08460076045627377	0.9888888888888889
0	0	2.9747959e-08	0.08468125594671741	0.9888888888888889
0	0	3.016787e-08	0.08476190476190476	0.9888888888888889
0	0	3.017259e-08	0.08484270734032412	0.9888888888888889
0	0	3.0221376e-08	0.08492366412213741	0.9888888888888889
0	0	3.271439e-08	0.08500477554918816	0.9888888888888889
0	0	3.3677875e-08	0.08508604206500955	0.9888888888888889
0	0	3.3850142e-08	0.08516746411483253	0.9888888888888889
0	0	3.393658e-08	0.08524904214559387	0.9888888888888889
0	0	3.466233e-08	0.08533077660594439	0.9888888888888889
0	0	3.6487606e-08	0.0854126679462572	0.9888888888888889
0	0	3.8924213e-08	0.08549471661863593	0.9888888888888889
0	0	3.9001204e-08	0.08557692307692308	0.9888888888888889
0	0	3.9631782e-08	0.08565928777670838	0.9888888888888889
0	0	4.3012758e-08	0.08574181117533719	0.9888888888888889
0	0	4.3851905e-08	0.085824493731919	0.9888888888888889
0	0	4.7109175e-08	0.0859073359073359	0.9888888888888889
0	0	4.8504653e-08	0.08599033816425121	0.9888888888888889
0	0	5.459509e-08	0.086073500967118	0.9888888888888889
0	0	5.4889323e-08	0.08615682478218781	0.9888888888888889
0	0	5.538518e-08	0.08624031007751938	0.9888888888888889
0	0	5.558159e-08	0.0863239573229874	0.9888888888888889
0	0	5.8773754e-08	0.08640776699029126	0.9888888888888889
0	0	6.053888e-08	0.08649173955296405	0.9888888888888889
0	0	6.0661634e-08	0.08657587548638132	0.9888888888888889
0	0	6.263716e-08	0.0866601752677702	0.9888888888888889
0	0	6.402235e-08	0.08674463937621832	0.9888888888888889
0	0	6.655951e-08	0.08682926829268292	0.9888888888888889
0	0	6.831854e-08	0.0869140625	0.9888888888888889
0	0	6.9055076e-08	0.08699902248289346	0.9888888888888889
0	0	6.9104225e-08	0.08708414872798434	0.9888888888888889
0	0	6.9990584e-08	0.0871694417238002	0.9888888888888889
0	0	7.047269e-08	0.08725490196078431	0.9888888888888889
0	0	7.283521e-08	0.0873405299313052	0.9888888888888889
0	0	7.408698e-08	0.08742632612966601	0.9888888888888889
0	0	7.524033e-08	0.08751229105211406	0.9888888888888889
0	0	7.536816e-08	0.08759842519685039	0.9888888888888889
0	0	7.5987685e-08	0.08768472906403942	0.9888888888888889
0	0	7.6627934e-08	0.08777120315581854	0.9888888888888889
0	0	7.81518e-08	0.087857847976308	0.9888888888888889
0	0	7.826607e-08	0.08794466403162056	0.9888888888888889
0	0	8.0055344e-08	0.08803165182987141	0.9888888888888889
0	0	8.130053e-08	0.08811881188118811	0.9888888888888889
0	0	8.3149175e-08	0.08820614469772052	0.9888888888888889
0	0	8.347222e-08	0.0882936507936508	0.9888888888888889
0	0	8.3507736e-08	0.08838133068520357	0.9888888888888889
0	0	8.5953054e-08	0.08846918489065607	0.9888888888888889
0	0	9.120191e-08	0.08855721393034825	0.9888888888888889
0	0	9.323657e-08	0.08864541832669323	0.9888888888888889
0	0	9.6446634e-08	0.08873379860418744	0.9888888888888889
0	0	9.973086e-08	0.08882235528942116	0.9888888888888889
0	0	1.02524446e-07	0.08891108891108891	0.9888888888888889
0	0	1.0472219e-07	0.089	0.9888888888888889
0	0	1.08196765e-07	0.0890890890890891	0.9888888888888889
0	0	1.1053886e-07	0.08917835671342686	0.9888888888888889
0	0	1.118568e-07	0.08926780341023069	0.9888888888888889
0	0	1.1887601e-07	0.0893574297188755	0.9888888888888889
0	0	1.1978004e-07	0.08944723618090453	0.9888888888888889
0	0	1.2127497e-07	0.08953722334004025	0.9888888888888889
0	0	1.2141848e-07	0.08962739174219536	0.9888888888888889
0	0	1.2211034e-07	0.08971774193548387	0.9888888888888889
0	0	1.2375727e-07	0.08980827447023208	0.9888888888888889
0	0	1.2694234e-07	0.0898989898989899	0.9888888888888889
0	0	1.2876997e-07	0.08998988877654196	0.9888888888888889
0	0	1.3324863e-07	0.09008097165991903	0.9888888888888889
0	0	1.3846736e-07	0.09017223910840932	0.9888888888888889
0	0	1.4324587e-07	0.09026369168356999	0.9888888888888889
0	0	1.4431251e-07	0.09035532994923857	0.9888888888888889
0	0	1.4806102e-07	0.09044715447154472	0.9888888888888889
0	0	1.4848779e-07	0.09053916581892167	0.9888888888888889
0	0	1.4918997e-07	0.09063136456211812	0.9888888888888889
0	0	1.4982689e-07	0.09072375127421	0.9888888888888889
0	0	1.5273548e-07	0.09081632653061225	0.9888888888888889
0	0	1.5675361e-07	0.09090909090909091	0.9888888888888889
0	0	1.627198e-07	0.09100204498977506	0.9888888888888889
0	0	1.6930868e-07	0.09109518935516889	0.9888888888888889
0	0	1.7274235e-07	0.09118852459016394	0.9888888888888889
0	0	1.7430037e-07	0.09128205128205129	0.9888888888888889
0	0	1.7514235e-07	0.09137577002053388	0.9888888888888889
0	0	1.7747035e-07	0.09146968139773895	0.9888888888888889
0	0	1.7931518e-07	0.09156378600823045	0.9888888888888889
0	0	1.9229677e-07	0.09165808444902163	0.9888888888888889
0	0	1.9295553e-07	0.09175257731958762	0.9888888888888889
0	0	1.9333203e-07	0.09184726522187822	0.9888888888888889
0	0	1.9347848e-07	0.09194214876033058	0.9888888888888889
0	0	1.9355451e-07	0.09203722854188211	0.9888888888888889
0	0	1.9380387e-07	0.09213250517598344	0.9888888888888889
0	0	1.9541369e-07	0.0922279792746114	0.9888888888888889
0	0	2.0028412e-07	0.09232365145228216	0.9888888888888889
0	0	2.0696605e-07	0.09241952232606439	0.9888888888888889
0	0	2.0896502e-07	0.09251559251559252	0.9888888888888889
0	0	2.1115116e-07	0.09261186264308012	0.9888888888888889
0	0	2.274721e-07	0.09270833333333334	0.9888888888888889
0	0	2.3334843e-07	0.09280500521376434	0.9888888888888889
0	0	2.3605651e-07	0.09290187891440502	0.9888888888888889
0	0	2.3912236e-07	0.09299895506792058	0.9888888888888889
0	0	2.3931264e-07	0.09309623430962342	0.9888888888888889
0	0	2.438577e-07	0.09319371727748692	0.9888888888888889
0	0	2.4573654e-07	0.09329140461215933	0.9888888888888889
0	0	2.638607e-07	0.09338929695697797	0.9888888888888889
0	0	2.675386e-07	0.0934873949579832	0.9888888888888889
0	0	2.74545e-07	0.0935856992639327	0.9888888888888889
0	0	2.8428295e-07	0.09368421052631579	0.9888888888888889
0	0	2.8861106e-07	0.09378292939936776	0.9888888888888889
0	0	2.939915e-07	0.0938818565400844	0.9888888888888889
0	0	2.94304e-07	0.09398099260823653	0.9888888888888889
0	0	2.994813e-07	0.09408033826638477	0.9888888888888889
0	0	3.0323926e-07	0.09417989417989418	0.9888888888888889
0	0	3.1409596e-07	0.09427966101694915	0.9888888888888889
0	0	3.4992016e-07	0.09437963944856839	0.9888888888888889
0	0	3.531769e-07	0.09447983014861996	0.9888888888888889
0	0	3.5323717e-07	0.09458023379383634	0.9888888888888889
0	0	3.6295896e-07	0.09468085106382979	0.9888888888888889
0	0	3.7323193e-07	0.09478168264110756	0.9888888888888889
0	0	3.737641e-07	0.09488272921108742	0.9888888888888889
0	0	3.7782743e-07	0.09498399146211313	0.9888888888888889
0	0	3.7905235e-07	0.09508547008547008	0.9888888888888889
0	0	3.8262255e-07	0.09518716577540107	0.9888888888888889
0	0	3.933549e-07	0.09528907922912205	0.9888888888888889
0	0	3.972624e-07	0.09539121114683816	0.9888888888888889
0	0	4.011284e-07	0.09549356223175966	0.9888888888888889
0	0	4.1248995e-07	0.09559613319011816	0.9888888888888889
0	0	4.1338666e-07	0.0956989247311828	0.9888888888888889
0	0	4.190472e-07	0.09580193756727665	0.9888888888888889
0	0	4.1954544e-07	0.09590517241379311	0.9888888888888889
0	0	4.2918802e-07	0.09600862998921252	0.9888888888888889
0	0	4.334292e-07	0.09611231101511879	0.9888888888888889
0	0	4.344638e-07	0.09621621621621622	0.9888888888888889
0	0	4.3542033e-07	0.09632034632034632	0.9888888888888889
