iteration	thresholded?	threshold	precision	recall
0	0	5.9666915e-25	0.0794351279788173	1.0
0	0	1.049591e-23	0.07950530035335689	1.0
0	0	2.278091e-22	0.07957559681697612	1.0
0	0	4.268247e-21	0.07964601769911504	1.0
0	0	6.4721277e-21	0.07971656333038087	1.0
0	0	1.4412438e-20	0.0797872340425532	1.0
0	0	2.3643103e-20	0.07985803016858918	1.0
0	0	2.6875592e-20	0.07992895204262877	1.0
0	0	7.232782e-20	0.08	1.0
0	0	1.3647043e-19	0.0800711743772242	1.0
0	0	1.364975e-19	0.08014247551202137	1.0
0	0	1.399756e-19	0.08021390374331551	1.0
0	0	2.487513e-19	0.08028545941123996	1.0
0	0	7.7784363e-19	0.08035714285714286	1.0
0	0	9.224022e-19	0.08042895442359249	1.0
0	0	1.4909031e-18	0.08050089445438283	1.0
0	0	6.7405434e-18	0.08057296329453895	1.0
0	0	7.382677e-18	0.08064516129032258	1.0
0	0	8.289112e-18	0.08071748878923767	1.0
0	0	9.481245e-18	0.0807899461400359	1.0
0	0	1.1470075e-17	0.08086253369272237	1.0
0	0	1.1506362e-17	0.08093525179856115	1.0
0	0	1.5832614e-17	0.081008100810081	1.0
0	0	1.5925717e-17	0.08108108108108109	1.0
0	0	2.0688571e-17	0.0811541929666366	1.0
0	0	3.1493757e-17	0.0812274368231047	1.0
0	0	5.1313425e-17	0.08130081300813008	1.0
0	0	6.0873704e-17	0.081374321880651	1.0
0	0	8.5797225e-17	0.08144796380090498	1.0
0	0	1.1959892e-16	0.08152173913043478	1.0
0	0	1.2188338e-16	0.0815956482320943	1.0
0	0	1.4465344e-16	0.08166969147005444	1.0
0	0	1.4806233e-16	0.08174386920980926	1.0
0	0	1.7900515e-16	0.08181818181818182	1.0
0	0	1.7952143e-16	0.0818926296633303	1.0
0	0	1.8045316e-16	0.08196721311475409	1.0
0	0	2.0938922e-16	0.0820419325432999	1.0
0	0	2.8227823e-16	0.08211678832116788	1.0
0	0	3.1882405e-16	0.0821917808219178	1.0
0	0	3.447967e-16	0.08226691042047532	1.0
0	0	3.4610529e-16	0.08234217749313816	1.0
0	0	3.7511947e-16	0.08241758241758242	1.0
0	0	3.754373e-16	0.08249312557286893	1.0
0	0	5.962646e-16	0.08256880733944955	1.0
0	0	6.0428125e-16	0.08264462809917356	1.0
0	0	6.1383244e-16	0.08272058823529412	1.0
0	0	7.2170595e-16	0.0827966881324747	1.0
0	0	7.289496e-16	0.08287292817679558	1.0
0	0	7.2990687e-16	0.08294930875576037	1.0
0	0	9.346127e-16	0.08302583025830258	1.0
0	0	9.904972e-16	0.08310249307479224	1.0
0	0	1.2160571e-15	0.08317929759704251	1.0
0	0	1.2191553e-15	0.08325624421831637	1.0
0	0	1.3296705e-15	0.08333333333333333	1.0
0	0	1.3450158e-15	0.08341056533827618	1.0
0	0	1.4699428e-15	0.08348794063079777	1.0
0	0	2.0148915e-15	0.08356545961002786	1.0
0	0	2.2847744e-15	0.08364312267657993	1.0
0	0	2.5378672e-15	0.08372093023255814	1.0
0	0	3.1241792e-15	0.08379888268156424	1.0
0	0	3.170474e-15	0.08387698042870456	1.0
0	0	3.5147001e-15	0.08395522388059702	1.0
0	0	4.1746214e-15	0.08403361344537816	1.0
0	0	4.785333e-15	0.08411214953271028	1.0
0	0	5.5137915e-15	0.08419083255378859	1.0
0	0	6.2774484e-15	0.08426966292134831	1.0
0	0	6.5164426e-15	0.08434864104967198	1.0
0	0	7.0792003e-15	0.08442776735459662	1.0
0	0	7.278164e-15	0.08450704225352113	1.0
0	0	7.5927584e-15	0.08458646616541353	1.0
0	0	7.611086e-15	0.08466603951081844	1.0
0	0	8.458e-15	0.0847457627118644	1.0
0	0	8.72572e-15	0.08482563619227144	1.0
0	0	9.0012624e-15	0.08490566037735849	1.0
0	0	1.0771293e-14	0.08498583569405099	1.0
0	0	1.5411282e-14	0.08506616257088846	1.0
0	0	1.6479204e-14	0.08514664143803216	1.0
0	0	1.7243034e-14	0.08522727272727272	1.0
0	0	2.2809439e-14	0.08530805687203792	1.0
0	0	2.8586315e-14	0.08538899430740038	1.0
0	0	3.586745e-14	0.08547008547008547	1.0
0	0	3.625337e-14	0.08555133079847908	1.0
0	0	3.637576e-14	0.08563273073263558	1.0
0	0	4.301279e-14	0.08571428571428572	1.0
0	0	4.988172e-14	0.08579599618684461	1.0
0	0	5.204607e-14	0.08587786259541985	1.0
0	0	6.544072e-14	0.08595988538681948	1.0
0	0	6.920875e-14	0.08604206500956023	1.0
0	0	7.362443e-14	0.0861244019138756	1.0
0	0	8.2382824e-14	0.08620689655172414	1.0
0	0	8.866702e-14	0.0862895493767977	1.0
0	0	9.3181905e-14	0.08637236084452975	1.0
0	0	1.05849045e-13	0.08645533141210375	1.0
0	0	1.2837475e-13	0.08653846153846154	1.0
0	0	1.2959055e-13	0.08662175168431184	1.0
0	0	1.3609419e-13	0.08670520231213873	1.0
0	0	1.4650291e-13	0.08678881388621022	1.0
0	0	1.5067616e-13	0.08687258687258688	1.0
0	0	1.5810314e-13	0.08695652173913043	1.0
0	0	1.9578099e-13	0.08704061895551257	1.0
0	0	2.0406013e-13	0.08712487899322362	1.0
0	0	2.1809808e-13	0.0872093023255814	1.0
0	0	2.367008e-13	0.08729388942774007	1.0
0	0	2.745683e-13	0.08737864077669903	1.0
0	0	2.9532653e-13	0.08746355685131195	1.0
0	0	3.1050832e-13	0.08754863813229571	1.0
0	0	3.1133977e-13	0.08763388510223953	1.0
0	0	3.289181e-13	0.08771929824561403	1.0
0	0	3.4911256e-13	0.08780487804878048	1.0
0	0	3.5042482e-13	0.087890625	1.0
0	0	3.637668e-13	0.08797653958944282	1.0
0	0	3.7730864e-13	0.08806262230919765	1.0
0	0	4.2734205e-13	0.0871694417238002	0.9888888888888889
0	0	4.7496105e-13	0.08725490196078431	0.9888888888888889
0	0	4.7520484e-13	0.0873405299313052	0.9888888888888889
0	0	4.803041e-13	0.08742632612966601	0.9888888888888889
0	0	4.8289264e-13	0.08751229105211406	0.9888888888888889
0	0	4.9326943e-13	0.08759842519685039	0.9888888888888889
0	0	5.139963e-13	0.08768472906403942	0.9888888888888889
0	0	5.571625e-13	0.08777120315581854	0.9888888888888889
0	0	6.5474964e-13	0.087857847976308	0.9888888888888889
0	0	6.7178684e-13	0.08794466403162056	0.9888888888888889
0	0	7.8138353e-13	0.08803165182987141	0.9888888888888889
