threshold	precision	recall
0.0	0.0794351279788173	1.0
0.0005	0.08372093023255814	1.0
0.001	0.08754863813229571	1.0
0.0015	0.09036144578313253	1.0
0.002	0.09297520661157024	1.0
0.0025	0.09615384615384616	1.0
0.003	0.09857612267250822	1.0
0.0035	0.10078387458006718	1.0
0.004	0.10285714285714286	1.0
0.0045000000000000005	0.10550996483001172	1.0
0.005	0.10727056019070322	1.0
0.0055	0.10882708585247884	1.0
0.006	0.10975609756097561	1.0
0.006500000000000001	0.1111111111111111	1.0
0.007	0.11221945137157108	1.0
0.0075	0.11378002528445007	1.0
0.008	0.11494252873563218	1.0
0.0085	0.11597938144329897	1.0
0.009000000000000001	0.11673151750972763	1.0
0.0095	0.11857707509881422	1.0
0.01	0.1196808510638298	1.0
0.0105	0.12048192771084337	1.0
0.011	0.12162162162162163	1.0
0.0115	0.12244897959183673	1.0
0.012	0.12379642365887207	1.0
0.0125	0.12482662968099861	1.0
0.013000000000000001	0.12622720897615708	1.0
0.0135	0.12658227848101267	1.0
0.014	0.1271186440677966	1.0
0.0145	0.12802275960170698	1.0
0.015	0.1291248206599713	1.0
0.0155	0.12987012987012986	1.0
0.016	0.13119533527696792	1.0
0.0165	0.13274336283185842	1.0
0.017	0.13574660633484162	1.0
0.0175	0.13657056145675264	1.0
0.018000000000000002	0.13719512195121952	1.0
0.0185	0.1382488479262673	1.0
0.019	0.13975155279503104	1.0
0.0195	0.14106583072100312	1.0
0.02	0.14285714285714285	1.0
0.0205	0.14563106796116504	1.0
0.021	0.14634146341463414	1.0
0.021500000000000002	0.14827018121911037	1.0
0.022	0.1497504159733777	1.0
0.0225	0.15025041736227046	1.0
0.023	0.15100671140939598	1.0
0.0235	0.15306122448979592	1.0
0.024	0.15358361774744028	1.0
0.0245	0.15437392795883362	1.0
0.025	0.15570934256055363	1.0
0.025500000000000002	0.15706806282722513	1.0
0.026000000000000002	0.15817223198594024	1.0
0.0265	0.1601423487544484	1.0
0.027	0.1601423487544484	1.0
0.0275	0.16100178890876565	1.0
0.028	0.1618705035971223	1.0
0.0285	0.16216216216216217	1.0
0.029	0.16304347826086957	1.0
0.029500000000000002	0.16605166051660517	1.0
0.03	0.16759776536312848	1.0
0.0305	0.16853932584269662	1.0
0.031	0.16917293233082706	1.0
0.0315	0.17013232514177692	1.0
0.032	0.17142857142857143	1.0
0.0325	0.17208413001912046	1.0
0.033	0.1744186046511628	1.0
0.0335	0.17716535433070865	1.0
0.034	0.17751479289940827	1.0
0.0345	0.1782178217821782	1.0
0.035	0.18036072144288579	1.0
0.035500000000000004	0.18255578093306288	1.0
0.036000000000000004	0.18329938900203666	1.0
0.0365	0.1836734693877551	1.0
0.037	0.18442622950819673	1.0
0.0375	0.18556701030927836	1.0
0.038	0.18711018711018712	1.0
0.0385	0.18907563025210083	1.0
0.039	0.19027484143763213	1.0
0.0395	0.1910828025477707	1.0
0.04	0.19230769230769232	1.0
0.0405	0.1939655172413793	1.0
0.041	0.19522776572668113	1.0
0.0415	0.19736842105263158	1.0
0.042	0.19911504424778761	1.0
0.0425	0.2	1.0
0.043000000000000003	0.20044543429844097	1.0
0.043500000000000004	0.20179372197309417	1.0
0.044	0.20361990950226244	1.0
0.0445	0.20454545454545456	1.0
0.045	0.20501138952164008	1.0
0.0455	0.20642201834862386	1.0
0.046	0.20689655172413793	1.0
0.0465	0.20785219399538107	1.0
0.047	0.2097902097902098	1.0
0.0475	0.2097902097902098	1.0
0.048	0.21226415094339623	1.0
0.0485	0.21377672209026127	1.0
0.049	0.215311004784689	1.0
0.0495	0.2179176755447942	1.0
0.05	0.2200488997555012	1.0
0.0505	0.22058823529411764	1.0
0.051000000000000004	0.22113022113022113	1.0
0.051500000000000004	0.22277227722772278	1.0
0.052000000000000005	0.22388059701492538	1.0
0.0525	0.22727272727272727	1.0
0.053	0.22842639593908629	1.0
0.0535	0.23017902813299232	1.0
0.054	0.23017902813299232	1.0
0.0545	0.23136246786632392	1.0
