iteration	thresholded?	epoch	train_loss	train_acc	val_loss	val_acc
0	0	1	0.8670973777770996	0.8420038819313049	0.47488492727279663	0.7758164405822754
0	0	2	0.3125793933868408	0.8958161473274231	0.17644134163856506	0.9320388436317444
0	0	3	0.20060241222381592	0.9267822504043579	0.19980424642562866	0.9232127070426941
0	0	4	0.17402160167694092	0.9351775646209717	0.2345430552959442	0.9126213788986206
0	0	5	0.1350306123495102	0.9530690908432007	0.2356157898902893	0.9223300814628601
0	0	6	0.1341657191514969	0.9540324807167053	0.40000879764556885	0.894086480140686
0	0	7	0.1308251917362213	0.9548582434654236	0.21716812252998352	0.9355692863464355
0	0	8	0.10974623262882233	0.9639416337013245	0.12446542829275131	0.9664607048034668
0	0	9	0.09589507430791855	0.967795193195343	0.15228840708732605	0.9567520022392273
0	0	10	0.1075587123632431	0.9631158709526062	0.16589565575122833	0.9602824449539185
0	0	11	0.07792922109365463	0.9744012951850891	0.15903398394584656	0.9558693766593933
0	0	12	0.09412801265716553	0.9702724814414978	0.18220078945159912	0.9567520022392273
